nodes	16S_rRNA_Count
'internal_node_3723'	6.66666666666667
'internal_node_3742'	7
'internal_node_3751'	7
'internal_node_3776'	7
'internal_node_3796'	7
'internal_node_3797'	7
'internal_node_3800'	7
'internal_node_3803'	5.80558546001313
'internal_node_3804'	5.68772211906756
'internal_node_3805'	6
'internal_node_3808'	5
'internal_node_3811'	5.88408096344092
'internal_node_3812'	5.76926924623823
'internal_node_3813'	5.63276480203219
'internal_node_3818'	5.25356504762644
'internal_node_3822'	5
'internal_node_3863'	6
'internal_node_3864'	6
'internal_node_3865'	6
'internal_node_3867'	6
'internal_node_3869'	6
'internal_node_3870'	6
'internal_node_3871'	6
'internal_node_3873'	6
'internal_node_3880'	6
'internal_node_3885'	6
'internal_node_3888'	6
'internal_node_3909'	6
'internal_node_3916'	9.36070171617966
'internal_node_3929'	10.1813007843164
'internal_node_3930'	7.79457150483512
'internal_node_3932'	9.15024322755291
'internal_node_3933'	9.86987388970674
'internal_node_3934'	11
'internal_node_3971'	11
'internal_node_4038'	8.14416905326694
'internal_node_4041'	9
'internal_node_4042'	9
'internal_node_4064'	5.9698016134382
'internal_node_4065'	1.32929222866853
'internal_node_4115'	7.78965630982276
'internal_node_4138'	7.59861709875481
'internal_node_4141'	7.8
'internal_node_4201'	8.97951195222164
'internal_node_4202'	9.13186180567086
'internal_node_4203'	8.87517649713017
'internal_node_4204'	8.83763958508407
'internal_node_4205'	9.39579392119175
'internal_node_4206'	8.58284931281611
'internal_node_4207'	8.90700335781517
'internal_node_4208'	8.55142330282321
'internal_node_4211'	9.19349805096205
